Player,Club,Position,Fee,Season,Transfer
Jordon Ibe,Liverpool,Right Winger,18.0,2016/2017,Departure
Joe Allen,Liverpool,Central Midfield,15.5,2016/2017,Departure
Martin Skrtel,Liverpool,Centre-Back,6.0,2016/2017,Departure
Tiago Ilori,Liverpool,Centre-Back,4.3,2016/2017,Departure
Luis Alberto,Liverpool,Central Midfield,4.0,2016/2017,Departure
Brad Smith,Liverpool,Left-Back,3.6,2016/2017,Departure
Mamadou Sakho,Liverpool,Centre-Back,2.3,2016/2017,Departure
Lawrence Vigouroux,Liverpool,Goalkeeper,0.48,2016/2017,Departure
Virgil van Dijk,Liverpool,Centre-Back,84.65,2017/2018,Arrival
Mohamed Salah,Liverpool,Right Winger,42.0,2017/2018,Arrival
Alex Oxlade-Chamberlain,Liverpool,Central Midfield,38.0,2017/2018,Arrival
Andrew Robertson,Liverpool,Left-Back,9.0,2017/2018,Arrival
Philippe Coutinho,Liverpool,Attacking Midfield,135.0,2017/2018,Departure
Mamadou Sakho,Liverpool,Centre-Back,28.2,2017/2018,Departure
Divock Origi,Liverpool,Centre-Forward,6.5,2017/2018,Departure
Lucas Leiva,Liverpool,Defensive Midfield,5.7,2017/2018,Departure
Kevin Stewart,Liverpool,Defensive Midfield,4.5,2017/2018,Departure
Daniel Sturridge,Liverpool,Centre-Forward,2.3,2017/2018,Departure
Andre Wisdom,Liverpool,Right-Back,2.3,2017/2018,Departure
Alisson,Liverpool,Goalkeeper,62.5,2018/2019,Arrival
Naby Keïta,Liverpool,Central Midfield,60.0,2018/2019,Arrival
Fabinho,Liverpool,Defensive Midfield,45.0,2018/2019,Arrival
Xherdan Shaqiri,Liverpool,Attacking Midfield,14.7,2018/2019,Arrival
Dominic Solanke,Liverpool,Centre-Forward,21.2,2018/2019,Departure
Danny Ward,Liverpool,Goalkeeper,14.0,2018/2019,Departure
Loris Karius,Liverpool,Goalkeeper,2.5,2018/2019,Departure
Ragnar Klavan,Liverpool,Centre-Back,1.52,2018/2019,Departure
Harry Wilson,Liverpool,Right Winger,1.1,2018/2019,Departure
Marko Grujic,Liverpool,Defensive Midfield,1.0,2018/2019,Departure
Cristiano Ronaldo,Manchester United,Centre-Forward,19.0,2003/2004,Arrival
Louis Saha,Manchester United,Centre-Forward,17.5,2003/2004,Arrival
Kléberson,Manchester United,Central Midfield,8.6,2003/2004,Arrival
Eric Djemba Djemba,Manchester United,Defensive Midfield,4.5,2003/2004,Arrival
Tim Howard,Manchester United,Goalkeeper,3.2,2003/2004,Arrival
David Bellion,Manchester United,Centre-Forward,3.0,2003/2004,Arrival
Fangzhuo Dong,Manchester United,Centre-Forward,0.725,2003/2004,Arrival
David Beckham,Manchester United,Right Midfield,37.5,2003/2004,Departure
Juan Sebastián Verón,Manchester United,Central Midfield,21.8,2003/2004,Departure
Wayne Rooney,Manchester United,Centre-Forward,37.0,2004/2005,Arrival
Gabriel Heinze,Manchester United,Centre-Back,10.0,2004/2005,Arrival
Alan Smith,Manchester United,Central Midfield,9.0,2004/2005,Arrival
Gerard Piqué,Manchester United,Centre-Back,5.25,2004/2005,Arrival
Nicky Butt,Manchester United,Central Midfield,3.75,2004/2005,Departure
Diego Forlán,Manchester United,Centre-Forward,3.2,2004/2005,Departure
Eric Djemba Djemba,Manchester United,Defensive Midfield,2.54,2004/2005,Departure
